Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
BABA FARID INTERNATIONAL SCHOOL KULGARHI,1631292,PUNJAB,FEROZEPUR,VPO KULGARHI DISTT FEROZEPUR,152005,www.babafaridinternationalschool.com,2018,01 Apr 2018,RITU CHOPRA,Male,MA M.ED,,6,4,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",BABA JOGI PEER EDUCATIONAL SOCIETY KULGARHI,
OXFORD SENIOR SCHOOL,1631293,PUNJAB,LUDHIANA,BARMALIPUR ROAD,141416,www.oxfordschoolpayal.com,2018,04 Apr 2018,VIJAY KAPUR,Male,"MA ECONOMICS, MATHS, B ED",,5,18,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",HOPE Educational Society,
MANAV RACHNA INTERNATIONAL SCHOOL,1631294,PUNJAB,SAS NAGAR,"IT CITY , SECTOR 82 
D BLOCK , SAS NAGAR 
MOHALI",160055,www.mris.edu.in,2018,05 Apr 2018,TARUNA VASHISHT,Male,"MA, M.ED",,14,22,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Navdrishti Educational Trust,
BHARTIYA VIDYA MANDIR SENIOR SECONDARY SCHOOL,1631295,PUNJAB,LUDHIANA,"SEC.-39,CHANDIGARH ROAD, LUDHIANA",141010,http://bvmchdrd.com,2002,15 Apr 2002,UPASNA MODGIL,Male,"M.Com., B.Ed.",,19,23,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",BHARTIYA VIDYA MANDIR TRUST,
THE NEW CAMBRIDGE INTERNATIONAL PUBLIC SCHOOL,1631296,PUNJAB,SAS NAGAR,"GULABGARH-MAHIWAL ROAD,TEHSIL DERABASSI, DISTRICT-S.A.S.NAGAR",140507,www.tncips.com,2018,26 Apr 2018,ANJU PARMAR,Male,"B.Sc.,M.Sc, B.Ed, D.Pharmacy, Ph.D,",,28,28,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Satnam Education and Rural Welfare Society (Regd.),
SHEMROCK WORLD SCHOOL,1631297,PUNJAB,SAS NAGAR,"SINGHPURA, NAGLA ROAD, NEAR MAYA GARDEN CITY, DIST: S.A.S NAGAR",140603,www.shemrockzirakpur.com,2018,01 Apr 2019,CHETAN BANSAL,Male,B.ED,,12,13,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Maya Education Foundation,
SKONIS WORLD SCHOOL,1631298,PUNJAB,SAS NAGAR,"NH-205, KHARAR-KURALI ROAD, BEHIND DOABA COLLEGE, GHATOUR- BHAUJLI RAOD, GHATOUR",140301,www.skonisworldschool.com,2019,01 Apr 2019,MANVINDER KAUR KOHLI,Male,MA. Bed,,7,33,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Shirdi Sai Educational Society,
THE LAKEWOOD SCHOOL,1631299,PUNJAB,LUDHIANA,"THAKUR COLONY, 
PAKHOWAL ROAD,",141012,www.thelakewoodschool.com,2017,16 Apr 2018,RITU BHANOT,Male,"M.Sc., B.Ed.",,7,18,Secondary Level,,"From :
                                01/04/2023  
                                 To :
                                31/03/2028",The Lakewood Education Foundation,
ST.JORDAN`S CONVENT SCHOOL,1631300,PUNJAB,MOGA,"GAUSHALA ROAD,BAGHAPURANA",142038,www.stjordanconventschool.com,2019,01 Apr 2019,Sudha K R,Male,M.Sc B.Ed,,08,25,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Gyan sagar Educational society,
PARAGON INTERNATIONAL SCHOOL,1631301,PUNJAB,LUDHIANA,"VILL. NANGAL NEAR DEHLON DIST. LUDHIANA
NANGAL
PUNJAB ,LUDHIANA , 141118",,,2016,03 Nov 2020,Manjit Kaur Sidhu,,MA ENGLISH B.Ed.,,10,30,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",,
THE MILLENNIUM SCHOOL,1631302,PUNJAB,GURDASPUR,"NEAR RADHASWAMI SATSANG BHAWAN, JALANDHAR ROAD,BATALA-143505",143505,www.themillenniumschools.co.in/batala,2018,02 Apr 2018,KULTAJ SINGH,Male,MBA MSc MATH BEd,,17,24,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",K.L.KHOSLA EDUCATIONAL SOCIETY,
DOON INTERNATIONAL SCHOOL,1631303,PUNJAB,AMRITSAR,"VERKA BYPASS, AMRITSAR",143001,https://www.doonamritsar.com/,2019,10 Mar 2019,Taranjot Kaur,Male,"MBA, MA, B.Ed",,15,5,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Sharma Educational Society,
"ST.SOLDIER DIVINE PUBLIC SCHOOL, GOLF LINK COLONY, HAMBRAN ROAD, LUDHIANA.",1631304,PUNJAB,LUDHIANA,"ST. SOLDIER DIVINE PUBLIC SCHOOL, GOLF LINK COLONY, HAMBRAN ROAD, LUDHIANA.",141008,www.ssdpsludhianacity.in,2017,01 Apr 2017,SAMEER SHARMA,Male,"M.Sc. , M.Phil , B.Ed",,12,10,Secondary Level,,"From :
                                01/04/2023  
                                 To :
                                31/03/2028",St. Soldier Educational Society,
SANT KABIR SCHOOL,1631305,PUNJAB,PATIALA,SANT KABIR SCHOOL LALOUCHHI TEHSIL AND DISTRICT PATIALA PUNJAB 147001,147001,www.santkabirschool.info,1999,01 Apr 1999,Kulwant Singh,Male,"M.A, B.Ed.",,3,15,Secondary Level,,"From :
                                01/04/2023  
                                 To :
                                31/03/2028",Sant Kabir Trust and Educational Society (Regd.),
VIDYA VALLEY SCHOOL,1631306,PUNJAB,SAS NAGAR,"VIDYA VALLEY SCHOOL BEHIND JAL VAYU TOWERS SEC 123 , MOHALI",140301,www.vidyavalleyschoolmohali.com,2016,16 Apr 2016,SUMAN LATA,Male,PHD,,6,14,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Jai Vidhya Memorial Educational Society,
AKAL GALAXY CONVENT SCHOOL,1631307,PUNJAB,JALANDHAR,"VILL- SIDHUPUR, LOHIAN KHAS, DISTT- JALANDHAR",144629,http://akalgroupofinstitutions.org,2017,15 Mar 2017,Amanpreet Kaur,Male,"M.A., B.Ed.",,07,12,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Akal Academy International(Society),
SANT ISHAR SINGH MEMORIAL PUBLIC HIGH SCHOOL,1631308,PUNJAB,PATIALA,VILLAGE KHERI JATTAN POST OFFICE BHADSON TEHSIL NABHA DISTRICT PATIALA PUNJAB,147202,www.santisharsingh.com,2010,01 Apr 2010,BALWINDER SINGH,Male,M.SC,,12,16,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Jindal Educational and Social Welfare Society,
CAMBRIDGE INTERNATIONAL SCHOOL,1631309,PUNJAB,GURDASPUR,"VILLAGE - KHOKHAR,
KALANAUR ROAD,
GURDASPUR",143521,http://www.cambridgegurdaspur.in,2017,01 Apr 2017,Smicky,Male,"M.Com, B.Ed",,05,08,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",DHAN SHRI GURU RAM DASS JI EDUCATIONAL SOCIETY,
INNOCENT HEARTS SCHOOL,1631310,PUNJAB,JALANDHAR,"CANTT.-JANDIALA ROAD, DIWALI, JALANDHAR",144020,https://www.innocenthearts.in/ihscjr/,2015,20 Apr 2015,SONALI MANOCHA,Male,"M.A., PGDCA, B.ED.",,10,14,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",Bowry Memorial Educational & Medical Trust,
ASRA INTERNATIONAL SCHOOL,1631311,PUNJAB,SANGRUR,PO NIDAMPUR TEHSIL BHAWANIGARH DISTT SANGRUR,148026,asracollege.edu.in,2016,01 Apr 2016,Anju Khosla,Male,MA B.Ed,,10,25,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Ram Asra Goyal Education & Research Society,
SRI GURU HARKRISHAN PUBLIC SCHOOL NANDACHAUR,1631312,PUNJAB,HOSHIARPUR,"VPO.NANDACHAUR, DISTT.HOSHIARPUR",146114,www.chiefkhalsadiwan.com,2016,03 Nov 2020,HARKIRAT KAUR,Male,"MA PBI EDU ENG, BSC, B.ED PSTET,CTET",,18,18,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",chief khalsa diwan charitable society,
AKAL ACADEMY MANOLI SURAT,1631313,PUNJAB,SAS NAGAR,"AKAL ACADEMY MANOLI SURAT, VILLAGE MANOLI SURAT, P.O. NAGGAL CHARBAR, TEHSIL DERA BASSI, DISTRICT S.A.S. NAGAR MOHALI (PUNJAB) - 140601",140601,,2012,20 Feb 2012,Rajni Thakur,Male,MSc Botany MEd,,0,16,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","THE KALGIDHAR SOCIETY, BARU SAHIB (HP)",
THE HERO PUBLIC SCHOOL,1631314,PUNJAB,FEROZEPUR,"THE HERO PUBLIC SCHOOL, 
NH 54 AMRITSAR BATHINDA ROAD, MAKHU
TEHSIL - ZIRA, 
DISTT _ FEROZEPUR
142044",142044,www.heropublicschool.com,2017,10 Apr 2017,Simi Gandhi,Male,"M.Sc., B.Ed.",,14,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Sardar Harcharan Singh Hero Society,
GYANSH GLOBAL SCHOOL,1631315,PUNJAB,SANGRUR,"GYANSH GLOBAL SCHOOL
VILLAGE/WARD SALEMPUR SHERPUR
DISTRICT SANGRUR",148024,http://www.gyanshglobalschool.in,2019,21 Jan 2019,ROJI THOMAS,Male,"MA , BEd",,12,21,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",Guru Teg Bahadur Educational and charitable Society Salempur,
AJIT KARAM SINGH INTERNATIONAL PUBLIC SCHOOL 123,1631316,PUNJAB,SAS NAGAR,"SECTOR 123, VILLAGE JANDPUR,
NEW SUNNY ENCLAVE,
GREATER MOHALI,
KHARAR",140301,www.aksips.in,2019,01 Apr 2019,ANJALI SINGH,Male,M.Sc B.ED,,10,28,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",National Educational Development Trust,
THE TOWN SCHOOL,1631317,PUNJAB,SANGRUR,"LUDHIANA ROAD,
VILLAGE BALLEWAL
TEHSIL MALERKOTLA
DISTT SANGRUR",148023,http://www.thetownschool.in,2018,16 Apr 2018,Mujahid Ali,Male,"M.Sci, B.Ed",,4,5,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",THE TOWN WELFARE AND CHARITABLE SOCIETY,
PREMJOT PUBLIC SR. SEC. SCHOOL,1631318,PUNJAB,KAPURTHALA,"AJITNAGAR,KAPURTHALA",144601,www.premjotpublicschool.com,1996,01 May 1996,SAPNA CHADHA,Male,"M.COM, M.ED",,5,10,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Captain Gurcharan singh school managing society,
SACRED INTERNATIONAL SCHOOL KHILCHIAN,1631319,PUNJAB,AMRITSAR,"NEAR CHANDI PALACE
G.T. ROAD AMRITSAR",143111,,2018,02 Apr 2018,JASJEEN KAUR,Male,"M.A , B.Ed",,5,7,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2024",BALA PRITAM EDUCATIONAL SOCIETY AMRITSAR,
SHAHEED BHAGAT SINGH PUBLIC HIGH SCHOOL,1631320,PUNJAB,RUPNAGAR,"VPO BELA, TEHSIL CHAMKAUR SAHIB, DISTRICT RUPNAGAR (PUNJAB)-140111",140111,http://www.schoolsbsbela.com,2005,01 Apr 2005,SARABJIT KAUR,Male,"M.A, B.Ed",,16,16,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2030","SHAHEED BHAGAT SINGH CHARITABLE & EDUCATIONAL SOCIETY, VPO BELA, TEHSIL CHAMKAUR SAHIB, DISTRICT RUPNAGAR (PUNJAB)",
ST.SOLDIER DIVINE PUBLIC SCHOOL JHINGRAN,1631321,PUNJAB,SHAHID BHAGAT SINGH NAGAR,V.P.O JHINGRAN,144507,,2018,01 Apr 2018,DAMINI SHARMA,Male,MA BED,,1,6,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",St. Soldier Educational Society,
SANAWAR SMART SCHOOL BHUPAL,1631322,PUNJAB,MANSA,"VILLAGE-BHUPAL,P.O.-MATTI,TEHSIL-MANSA,DISTRICT-MANSA",151504,http://www.sanawarsmartbhupal.com,2014,04 Jan 2014,BALJIT SINGH SIDHU,Male,"M.PED, M.PHIL",,15,10,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",GURU GOBIND SINGH WELFARE AND EDUCATION SOCIETY,
J K MEMORIAL GLOBAL SCHOOL,1631323,PUNJAB,SANGRUR,"NABHA-MALERKOTLA ROAD, VILLAGE BAGRIAN, TEHSIL MALERKOTLA, DISTRICT SANGRUR (PUNJAB)",148018,http://www.jkmglobalschool.in,2017,01 Apr 2017,Pritpal Singh,Male,"M.A. ENGLISH  , B.Ed.",,11,11,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","Bagrian Welfare Society, Village Bagrian, Tehsil Malerkotla, District Sangrur (Punjab)",
C T WORLD SCHOOL,1631324,PUNJAB,JALANDHAR,"66 FEET MAIN ROAD,
NEAR CT INSTITUTIONS,
V&PO UDOPUR",144020,www.ctworld.in,2018,04 Apr 2018,Arti Jaswal,Male,"B.Sc,M.A,B.Ed",,30,22,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",C T Educational Society,
GARDEN VALLEY INTERNATIONAL SCHOOL,1631325,PUNJAB,FATEHGARH SAHIB,"VILLAGE BAINA BULAND,",147203,http://www.gvisamloh.in,2016,01 Apr 2016,Jaskiran Kaur,Male,"M.A,,M.Ed, M.Phil",,6,14,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SARV JAN SEWA EDUCATIONAL SOCIETY,
AKAL ACADEMY KAKRA KALAN,1631326,PUNJAB,JALANDHAR,"AKAL ACADEMY KAKRA KALAN, VILLAGE NANGAL AMBIAN, POST OFFICE KOTLA SURAJ MAL, TEHSIL SHAHKOT, DISTRICT JALANDHAR, PUNJAB - 144703",144703,,2012,20 Dec 2011,Santosh Kumari,Male,"MA-English  B.Ed. CTET,HPTET",,3,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","The Kalgidhar Trust, Baru Sahib (HP)",
GGS WORLD SCHOOL FEROZEPUR ROAD MALLANWALA FEROZEPUR,1631327,PUNJAB,FEROZEPUR,FEROZEPUR ROAD MALLANWALA FEROZEPUR,152021,WWW.GGSWORLDFZR.COM,2018,03 Apr 2018,MANJIT SINGH,Male,MA BED,,5,15,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",SHAEED BHAGAT SINGH EDUCATIONAL SOCIETY KHUSHAL SINGH WALA DISTT FEROZEPUR,
GOLDEN SENIOR SECONDARY SCHOOL,1631328,PUNJAB,GURDASPUR,"HANUMAN CHOWK, 
GURDASPUR",143521,,1960,01 Apr 1977,JATINDER GUPTA,Male,"MA, M.Ed",,15,8,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",GOLDEN EDUCATIONAL SOCIETY,
THE HUMMING BIRDS SCHOOL RAJPURA,1631329,PUNJAB,PATIALA,"THE HUMMING BIRDS SCHOOL
NH-1, VILL- UGANA, SIRHIND ROAD, RAJPURA",140401,http://www.thehummingbirdsschool.in,2017,01 Apr 2017,SONAM KAUSHAL,Male,"M.Sc., B.Ed.",,8,2,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",CHARNISAPNA EDUCATIONAL SOCIETY RAJPURA,
SAHIBZADA AJIT SINGH CONVENT SCHOOL,1631330,PUNJAB,BATHINDA,"BATHINDA-MANSA ROAD, GEHRI BARA SINGH-151509, TEHSIL MAUR, DISTT. BATHINDA (PB.)",151509,http://sascs.ztc.in,2019,01 Apr 2019,GURPREET KAUR,Male,M.A. B.ED.,,4,14,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","Sahibzada Ajit Singh Educational Society, Village Gehri Bara Singh-151509, District Bathinda (Punjab)",
DELHI PUBLIC SCHOOL,1631331,PUNJAB,SAS NAGAR,"CHAPPERCHIRI                                                    SECTOR-92,MOHALI",140307,WWW.DPSMOHALI.COM,2015,01 Apr 2015,PAWAN SINGH,Male,"B.A.HONS, M.A.ENG., M.F.C., B.ED.",,8,28,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",Heritage Education Society,
ST.XAVIER CONVENT SCHOOL,1631332,PUNJAB,LUDHIANA,VILLAGE-KIRI P.O. MADARPURA (SIDHWAN BET) TEH. JAGRAON DIST. LUDHIANA,142033,www.stxavierjagraon.com,2019,09 Mar 2019,JASWANT KAUR,Male,"M.A, B.ED, M.PHIL",,15,17,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",S.Kuldeep Singh  Educational & Research Society (Moga),
NEW ERA INTERNATIONAL SCHOOL,1631333,PUNJAB,KAPURTHALA,"NEW ERA INTERNATIONAL SCHOOL ,RAZAPUR, KAPURTHALA(PUNJAB)",144603,www.newerainternationalkpt.in,2016,15 Apr 2016,Anjali Madhok,Male,"M.A, B.Ed",,5,13,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029","JK Educational Society,Preet Nagar Kapurthala",
AKAL ACADEMY NAVAN QUILLA,1631334,PUNJAB,FEROZEPUR,"AKAL ACADEMY NAVAN QUILLA, VILLAGE NAVAN QUILLA, POST OFFICE KARMA, TEHSIL GURUHARSHAI, DISTRICT FEROZEPUR (PUNJAB) - 152023",152023,,2013,24 Feb 2013,MOHANJIT KAUR,Male,MA Eng BEd,,12,14,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","The Kalgidhar Trust, Baru Sahib (HP)",
ST. XAVIERS CONVENT SCHOOL,1631335,PUNJAB,BATHINDA,"TALWANDI SABO -RAMAN ROAD, VILL. JAJJAL (BATHINDA)",151301,http://www.xavierschooljajjal.in,2019,01 Apr 2019,NEETISH SODHI,Male,"M.A., B.Ed.",,6,9,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",Lord Rama Educational welfare Society(Regd.),
SSM GLOBAL SCHOOL KASSOANA,1631336,PUNJAB,FEROZEPUR,VPO KASSOANA TEHSIL ZIRA DISTT FEROZEPUR,142050,WWW.SSMSCHOOLS.NET,2016,01 Apr 2016,SANGEETA,Male,MSC BED,,1,9,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2030",SARWAN SINGH NATIONAL PUBLIC SCHOOL EDUCATIONAL SOCIETY KASSOANA,
"ST.SOLDIER ELITE CONVENT SCHOOL SOHIAN ROAD, MAJITHA.",1631337,PUNJAB,AMRITSAR,ST.SOLDIER ELITE CONVENT  SCHOOL SOHIAN ROAD MAJITHA AMRITSAR 143601,143601,ssecsmajitha.com,2017,03 Mar 2017,Lakshyata Verma,Male,"MCA, B.Ed",,3,5,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","St.Soldier Educational Society ,VPO. Majitha,Distt.Amritsar",
ST. XAVIER CONVENT SCHOOL,1631338,PUNJAB,BARNALA,VPO RURE KE KALAN DISTT. BARNALA,148107,stxavierbarnala.com,2019,01 Apr 2019,INDERJIT SINGH,Male,MA  ENG B ED,,10,6,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",MAHARAJA RANJIT SINGH EDUCATIONAL SOCIETY BARNALA,
NAVDEEP PUBLIC SENIOR SECONDARY SCHOOL,1631339,PUNJAB,SANGRUR,"W.NO.1, NEAR SANDHU PALACE, PATRAN ROAD, MOONAK-148033, DISTT. SANGRUR (PUNJAB),",148033,http://www.npsmoonak.in,2008,01 Apr 2008,Mr. Mahavir Singh,Male,MA Eco Maths COPA BEd MEd,,10,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","Maa Saraswati Education & Welfare Society, Moonak, Distt. Sangrur (Punjab)",
AKAL JOT PUBLIC SENIOR SECONDARY SCHOOL,1631340,PUNJAB,PATIALA,"OPP. GARG FILLING STATION, VILLAGE SHERGARH, DISTT. PATIALA (PUNJAB)",147105,http://www.akaljotshergarh.in,2004,01 Apr 2005,JASPAL KAUR,Male,Ph.D. UGC NET,,12,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","Akal Educational Society, Khanouri Mandi-148027, Distt. Sangrur (Punjab)",
DELHI PUBLIC SCHOOL RAJPURA,1631341,PUNJAB,PATIALA,VILL KALO MAJRA P.O- JANSLA.,140401,dpsrajpura.com,2020,16 Apr 2020,Geetika Chandra,Male,"MA, B.ed",,7,7,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Light House Educational Trust,
GURU GOBIND SINGH PUBLIC SENIOR SECONDARY SCHOOL,1631342,PUNJAB,PATIALA,"VPO BINAHERI-147201, TEHSIL NABHA, DISTT. PATIALA (PUNJAB)",147201,http://www.ggsbinaheri.org.in,1996,01 Apr 1996,Satwinderpreet,Male,"M.A, B.Ed",,5,14,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","GURU GOBIND SINGH PUBLIC SCHOOL EDUCATIONAL SOCIETY,VPO BINAHERI, TEH. NABHA, DISTT. PATIALA (PUNJAB)",
SSRVM SR SEC SCHOOL,1631343,PUNJAB,RUPNAGAR,"SECTOR 2, NAYA NANGAL  TEHSIL NANGAL DISTT RUPNAGAR (PB.)",140126,www.ssrvmuna.com,2018,01 Apr 2018,Brij Bala,Male,Msc..B.Ed,,1,10,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Sri Krishna Educational Society,
GARDEN VALLEY INTERNATIONAL SCHOOL,1631344,PUNJAB,FATEHGARH SAHIB,"VILLAGE SAMPLI, SAMPLA ROAD, NEAR UNIVERSITY COLLEGE, CHUNNI KALAN",140307,http://www.gvischunni.in,2014,01 Apr 2014,Namita Chauhan,Male,MA B.ED,,23,23,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",GARDEN VALLEY EDUCATIONAL & WELFARE SOCIETY,
SHRI HARKRISHAN SAHIB PUBLIC HIGH SCHOOL,1631345,PUNJAB,LUDHIANA,"GILL MARKET,NEW JANTA NAGAR,LUHDHIANA",141003,http://shsphs.in/,2004,01 Apr 2004,Radhika Talwar,Male,MA/B.ED,,6,6,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",SHRI GURU HARKRISHAN SAHIB EDUCATIONAL SOCIETY,
SRI ADVAIT GURUKUL HEIGHTS SCHOOL,1631346,PUNJAB,GURDASPUR,"VILL-ABULKHAIR,GURDASPUR",143521,www.sriadvaitschool.org.in,2019,06 Apr 2019,Palak aggarwal,Male,"B.ED,MBA",,7,10,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",SRI ADVAIT GURUKUL SHIKSHA FOUNDATION,
STEPHEN INTERNATIONAL SCHOOL,1631347,PUNJAB,SANGRUR,V.P.O MEHLAN,148001,http://stepheninternationalschool.in,2019,01 Apr 2019,MONICA,Male,"MA, B.Ed",,17,26,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",MAA NAINA DEVI EDUCATIONAL TRUST,
AKAL ACADEMY CHOGAWAN,1631348,PUNJAB,AMRITSAR,"AKAL ACADEMY CHOGAWAN, VPO CHOGAWAN, TEHSIL AJNALA, DISTRICT AMRITSAR (PUNJAB) - 143109",143109,,2013,22 Apr 2013,GURSHARNJIT KAUR,Male,M.A. Pol. Sci. B.Ed.   P.S.T.E.T,,09,11,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","THE KALGIDHAR SOCIETY,BARU SAHIB(H.P)",
SHRI HARKRISHAN SAHIB PUBLIC SR. SEC. SCHOOL,1631349,PUNJAB,LUDHIANA,"DABA COLONY,DABA ROAD",141003,www.shspsss.in,1992,01 Oct 1992,POONAM SHARMA,Male,BCOM MA ENGLISH ECONOMICS BED.,,18,28,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",The Noble Educational Society,
"DASMESH INTERNATIONAL SCHOOL,SARDULGARH",1631350,PUNJAB,MANSA,"KHAIRA ROAD,SARDULGARH",151507,http://www.dissardulgarh.com,2019,01 Apr 2019,IQBAL KAUR,Male,"M A , B.ED",,5,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","Captain Surjit Singh Educational And Welfare Society,Sardulgarh(Mansa)",
SAINT XAVIER CONVENT SCHOOL,1631351,PUNJAB,BATHINDA,VPO. DYALPURA BHAIKA,151108,http://www.xavierconventschool.com,2018,04 Jan 2019,JOSHI JOSEPH,Male,"MA, B.ED , M.Phill",,8,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",BABA GURDITA JI EDUCATIONAL SOCITY,
"LALA JAGAT NARAIN DAV PUBLIC SCHOOL,GARHDIWALA",1631352,PUNJAB,HOSHIARPUR,"LALA JAGAT NARAIN DAV PUBLIC SCHOOL, 
NEAR SHIV MANDIR
GARHDIWALA
HOSHIARPUR",144207,http://www.ljndavgwl.com,1982,01 Jul 1982,Amit Nagwan,Male,PHD BED,,8,12,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",DAV CMC NEW DELHI,
AKAL ACADEMY CHAK MANDER,1631353,PUNJAB,SHAHID BHAGAT SINGH NAGAR,"AKAL ACADEMY CHAK MANDER, VILLAGE CHAK MANDER, POST OFFICE JASSO MAJARA, TEHSIL BANGA, DISTRICT SHAHEED BHAGAT SINGH NAGAR (PUNJAB) - 144501",144501,,2011,21 Apr 2011,MONINDERPAL KAUR SANDHU,Male,"M.Com, M.Phil, B.Ed",,13,13,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","THE KALGIDHAR TRUST, BARU SAHIB (HP)",
SILVER BELLS INTERNATIONAL SCHOOL,1631354,PUNJAB,MANSA,VPO:- BEHNIWAL,151505,WWW.SBISBEHNIWAL.COM,2016,01 Apr 2016,SIMRANDEEP SHARMA,Male,B.SC. M.TECH. B.ED.,,0,8,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",SILVER EDUCATIONAL WELFARE SOCIETY,
CAMBRIDGE INTERNATIONAL SCHOOL,1631355,PUNJAB,PATHANKOT,"VPO SHAHPUR KANDI, TEHSIL DHAR KALAN, DISTRICT PATHANKOT 145029",145029,http://www.cambridgepathankot.com,2019,01 Apr 2019,Shivani Singh,Male,Phd,,22,22,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",TAWI EDUCATION TRUST,
